Algorithm,# Floors,# Vertices,# Robots,Traversal Time,Computation Time (sec)
DFS-BGS,4,122,95,133,0.09040617942810059
COCTA,4,122,100,19,0.017220735549926758
DFS-BGS,4,122,100,133,0.06206226348876953
COCTA,5,162,5,192,0.1383821964263916
DFS-BGS,5,162,5,1311,0.09080076217651367
COCTA,5,162,10,144,0.12608909606933594
DFS-BGS,5,162,10,1346,0.5383939743041992
COCTA,5,162,15,126,0.08838105201721191
DFS-BGS,5,162,15,1372,0.20598316192626953
COCTA,5,162,20,113,0.08708715438842773
DFS-BGS,5,162,20,801,0.19200682640075684
COCTA,5,162,25,100,0.07696104049682617
DFS-BGS,5,162,25,713,0.18224120140075684
COCTA,5,162,30,76,0.06552505493164062
DFS-BGS,5,162,30,637,0.1765742301940918
COCTA,5,162,35,71,0.07193398475646973
DFS-BGS,5,162,35,377,0.10557723045349121
COCTA,5,162,40,69,0.06999802589416504
DFS-BGS,5,162,40,413,0.1183018684387207
COCTA,5,162,45,66,0.058853864669799805
DFS-BGS,5,162,45,395,0.10497498512268066
COCTA,5,162,50,58,0.0522608757019043
DFS-BGS,5,162,50,395,0.11591601371765137
COCTA,5,162,55,55,0.03863883018493652
DFS-BGS,5,162,55,407,0.1679680347442627
COCTA,5,162,60,53,0.05871725082397461
DFS-BGS,5,162,60,459,0.12297320365905762
COCTA,5,162,65,52,0.06242728233337402
DFS-BGS,5,162,65,383,0.15192914009094238
COCTA,5,162,70,43,0.0551600456237793
DFS-BGS,5,162,70,459,0.1643047332763672
COCTA,5,162,75,41,0.044798851013183594
DFS-BGS,5,162,75,427,0.19326305389404297
COCTA,5,162,80,40,0.04394817352294922
DFS-BGS,5,162,80,373,0.1954941749572754
COCTA,5,162,85,40,0.04455304145812988
DFS-BGS,5,162,85,313,0.15765881538391113
COCTA,5,162,90,37,0.05659198760986328
DFS-BGS,5,162,90,137,0.1743149757385254
COCTA,5,162,95,32,0.026161909103393555
DFS-BGS,5,162,95,137,0.1465749740600586
COCTA,5,162,100,29,0.041409969329833984
DFS-BGS,5,162,100,137,0.09409213066101074
COCTA,6,202,5,241,0.15441370010375977
DFS-BGS,6,202,5,1733,0.07035231590270996
COCTA,6,202,10,181,0.11596107482910156
DFS-BGS,6,202,10,1768,0.11162614822387695
COCTA,6,202,15,163,0.1628868579864502
DFS-BGS,6,202,15,1780,0.15516901016235352
COCTA,6,202,20,143,0.09971499443054199
DFS-BGS,6,202,20,1033,0.18629789352416992
COCTA,6,202,25,129,0.08884406089782715
DFS-BGS,6,202,25,939,0.23115205764770508
COCTA,6,202,30,102,0.11017012596130371
DFS-BGS,6,202,30,815,0.2188107967376709
COCTA,6,202,35,95,0.08389687538146973
DFS-BGS,6,202,35,493,0.17065715789794922
COCTA,6,202,40,91,0.07597088813781738
DFS-BGS,6,202,40,481,0.12499523162841797
COCTA,6,202,45,86,0.0691521167755127
DFS-BGS,6,202,45,447,0.17741894721984863
COCTA,6,202,50,78,0.10047411918640137
DFS-BGS,6,202,50,503,0.11587691307067871
COCTA,6,202,55,76,0.08200311660766602
DFS-BGS,6,202,55,515,0.1936500072479248
COCTA,6,202,60,72,0.07250499725341797
DFS-BGS,6,202,60,533,0.15706515312194824
COCTA,6,202,65,70,0.056896209716796875
DFS-BGS,6,202,65,517,0.15820002555847168
COCTA,6,202,70,59,0.06700420379638672
DFS-BGS,6,202,70,511,0.17853903770446777
COCTA,6,202,75,57,0.07100510597229004
DFS-BGS,6,202,75,553,0.23485112190246582
COCTA,6,202,80,53,0.05295610427856445
DFS-BGS,6,202,80,453,0.1929011344909668
COCTA,6,202,85,52,0.05475902557373047
DFS-BGS,6,202,85,453,0.21464800834655762
COCTA,6,202,90,50,0.09479880332946777
DFS-BGS,6,202,90,453,0.2914450168609619
COCTA,6,202,95,47,0.05945587158203125
DFS-BGS,6,202,95,143,0.17113685607910156
COCTA,6,202,100,46,0.06561994552612305
DFS-BGS,6,202,100,143,0.13298892974853516
